sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,posterior_half_length_m,posterior_cluster_factor,posterior_sand_transport_factor
13,calibration,977.0,0,0.1655346721941342,0.16478047340503496,0.16484476413946064,0.16666666666666666,0.15702111035440092,0.15880383163582037,34.0446151292685,1.0960665847405762,1.0676012160228636
13,calibration,977.0,1,0.1632484914990532,0.16487521155557786,0.16509353531496915,0.16666666666666666,0.1694696409318667,0.1693987089377323,26.075602092256574,0.986701158104774,1.1360836839553625
13,calibration,977.0,2,0.1741742456993082,0.1664413989187336,0.16655182061771895,0.16666666666666666,0.1522248062296915,0.15552638400640195,23.854204055571344,0.9613921961921383,1.028474183210034
13,calibration,977.0,3,0.1843556197330763,0.17416316579797816,0.17303648714656333,0.16666666666666666,0.19502421124000793,0.18499870899040682,18.207255989068198,0.9070252330688761,1.1508447181231705
13,calibration,977.0,4,0.16484361918555226,0.16549343892676668,0.16603637029127405,0.16666666666666666,0.16752229669156693,0.16965074769797517,24.535120090988134,0.9689615112085558,1.1274542906437837
13,calibration,977.0,5,0.14784335168887588,0.16424631139590865,0.16443702249001393,0.16666666666666666,0.1587379345524661,0.16162161873166356,27.61590822811669,1.0057568160199908,1.0908585002986768
14,calibration,1052.0,0,0.16252663923164637,0.16667791443130714,0.16771375605642247,0.16666666666666666,0.16192073502594054,0.16620747420303103,39.53178299467234,1.0909380747941684,1.079973341588316
14,calibration,1052.0,1,0.1629770397149397,0.165533670134734,0.16584808062870993,0.16666666666666666,0.1695758446681303,0.17031020173477415,31.45245011292788,0.9864819579256292,1.1266170667683542
14,calibration,1052.0,2,0.17366728808819495,0.1666700089789765,0.16651916160627117,0.16666666666666666,0.15718606362387877,0.15824813548056024,29.191561461330917,0.9613467166944402,1.0400835771280188
14,calibration,1052.0,3,0.18749845624778072,0.17023744577832364,0.1681898295660236,0.16666666666666666,0.17982080791846947,0.17176494532287284,26.266091485677272,0.9316474538179599,1.1110339985148854
14,calibration,1052.0,4,0.16654451167441703,0.16578674242631417,0.1660314285657949,0.16666666666666666,0.16787706436182043,0.1688297434602037,30.627409105457186,0.9770584260803811,1.1148510706632135
14,calibration,1052.0,5,0.14678606504302127,0.1650942182503446,0.16569774357677794,0.16666666666666666,0.16361948440176055,0.164639499798558,32.97526258840245,1.0043785840901511,1.0906863279491175
15,calibration,1128.0,0,0.16361176268994984,0.16830103954833106,0.16726407811853386,0.16666666666666666,0.1680236482403611,0.16616251994194053,42.631574339280604,1.0820484886386448,1.0772628059039415
15,calibration,1128.0,1,0.16434318111948734,0.16598018720160237,0.1664896706580602,0.16666666666666666,0.170742748151621,0.1711124027656224,32.994301846944,0.9731972678396684,1.117621388602586
15,calibration,1128.0,2,0.1749037836679849,0.1661801718486239,0.16661349982882193,0.16666666666666666,0.15735462443636294,0.15911417367357505,32.62893582853818,0.9695967090496637,1.0380193607471204
15,calibration,1128.0,3,0.1835404110000159,0.16749667237316698,0.16755229681554928,0.16666666666666666,0.16972744633041814,0.16691629539309508,30.520129191419016,0.9496260813236302,1.079172838025563
15,calibration,1128.0,4,0.16688798168435195,0.16604153917014577,0.16614030190313506,0.16666666666666666,0.16930139744762995,0.1703196711868097,34.30877145426908,0.9864205998610243,1.116188909568193
15,calibration,1128.0,5,0.1467128798382101,0.1660003898581299,0.16594015267589973,0.16666666666666666,0.16485013539360693,0.16637493703895723,35.59194365532852,0.9998390511744631,1.0924420616137145
16,calibration,1203.0,0,0.16483558138153026,0.16732265541594452,0.16685121915083506,0.16666666666666666,0.16667518185645896,0.16804522365644,45.466905545726426,1.0776419875708079,1.1085739206642213
16,calibration,1203.0,1,0.1646846725352543,0.16660759532537855,0.16670509416444582,0.16666666666666666,0.17074997030457387,0.17166410042380217,35.33005276645079,0.9740559775235335,1.1340358591638098
16,calibration,1203.0,2,0.17895128627672016,0.16651993858246716,0.166578934851771,0.16666666666666666,0.1577862366973377,0.15790139775502596,35.71202470877048,0.9775062252064205,1.044381919407216
16,calibration,1203.0,3,0.17929398999077903,0.16755483921577546,0.16766607788408283,0.16666666666666666,0.1668378740730395,0.16454086439824414,33.06891823182541,0.9544432445865336,1.0770278796978232
16,calibration,1203.0,4,0.16517614300334618,0.16602902505783068,0.16631503873170947,0.16666666666666666,0.1709031762206815,0.1708030247344667,36.65105034135532,0.9860933813622187,1.1325845231376628
16,calibration,1203.0,5,0.1470583268123699,0.1659659464026038,0.16588363521715585,0.16666666666666666,0.1670475608479085,0.16704538903202112,40.40691473589878,1.0227612370429748,1.112280494308904
17,calibration,1278.0,0,0.16384721573033983,0.1667823728712719,0.16857776162491084,0.16666666666666666,0.1670137394622139,0.17272710235439717,51.51361213633848,1.0823114155053242,1.1414650435858837
17,calibration,1278.0,1,0.16354658736060804,0.1665449911722868,0.16608423705769765,0.16666666666666666,0.17131904256409022,0.17062933377570963,44.28561224254335,1.0068664773383538,1.1548107319613345
17,calibration,1278.0,2,0.17941905909909467,0.16628521701485202,0.16628204638635127,0.16666666666666666,0.1578567701466375,0.15838267885041785,45.49839571488785,1.0187160112734719,1.069886453677337
17,calibration,1278.0,3,0.18112599323020387,0.168075698254704,0.16614573188963555,0.16666666666666666,0.16524199492928077,0.1597340981690045,39.84462454493313,0.9657720519250347,1.0804321850228484
17,calibration,1278.0,4,0.16572435673091154,0.16637998611422988,0.16641209587615485,0.16666666666666666,0.17124621823696826,0.16926270744710253,38.50949065254481,0.9542901920049617,1.1419525017082477
17,calibration,1278.0,5,0.14633678784884208,0.16593173457265528,0.16649812716524967,0.16666666666666666,0.16732223466080942,0.16926407940336827,46.43918972992755,1.0281603861092432,1.1410178027902083
18,calibration,1353.0,0,0.16422347062426843,0.16822852379847078,0.16737982562344061,0.16666666666666666,0.17273447995979727,0.17120687824970066,53.91894284743608,1.1037932616205486,1.1689695060439123
18,calibration,1353.0,1,0.16389017363016017,0.1661774359426731,0.16565771878207547,0.16666666666666666,0.17085222077150447,0.17099256186003486,48.20819351303743,1.046842396170541,1.186985703171227
18,calibration,1353.0,2,0.17950223486234188,0.16641292562791277,0.16650493150000203,0.16666666666666666,0.15755354088150364,0.15449638899526727,51.67438360224792,1.0807215997914177,1.0637557565378188
18,calibration,1353.0,3,0.1792097502588855,0.1661057710145268,0.1655842817322505,0.16666666666666666,0.15929967743572643,0.1579146562879031,43.00928673102826,1.0002147409958968,1.0969802715848602
18,calibration,1353.0,4,0.1666441162052886,0.16672057618340322,0.169065782314007,0.16666666666666666,0.1712567911061415,0.1747813482237575,33.90794201805417,0.9313952575413091,1.174391466868873
18,calibration,1353.0,5,0.14653025441905537,0.16635476743301325,0.16580746004822444,0.16666666666666666,0.1683032898453267,0.17060816638333662,49.04049457308203,1.0549394844675455,1.1826064964276217
19,calibration,1428.0,0,0.16501730543355234,0.1669880083899209,0.16687101537499482,0.16666666666666666,0.17282035435703474,0.17219726830543008,58.72982879599454,1.127754560451105,1.1992305639528966
19,calibration,1428.0,1,0.1645814432437588,0.16559658527765284,0.16475533722036032,0.16666666666666666,0.16949166407393124,0.1715600505041998,53.19496842331971,1.073452991785336,1.219435579170917
19,calibration,1428.0,2,0.18013944829559184,0.16621471280565914,0.167470125439671,0.16666666666666666,0.15480027467381074,0.1579718651119584,59.85943995951093,1.1394942243911073,1.093870417066044
19,calibration,1428.0,3,0.1759274327066,0.1654682346324559,0.16421507789656528,0.16666666666666666,0.15731748581384947,0.15288651490392083,45.03549867117304,1.0024832387906804,1.092431505021729
19,calibration,1428.0,4,0.16704439702801202,0.16999964417306093,0.1709440383471519,0.16666666666666666,0.1755235936875776,0.1747900698816329,31.04101619230287,0.9084000197709561,1.1712141360429118
19,calibration,1428.0,5,0.1472899732924851,0.16573281472125037,0.16574440572125665,0.16666666666666666,0.17004662739379617,0.17059423129285792,56.175770519336226,1.1025414832491454,1.2010138611403682
20,calibration,1503.0,0,0.16621757384926392,0.16639959239664953,0.16669805287803016,0.16666666666666666,0.17064239230467826,0.16854696588441437,63.67972309701485,1.1534639039350931,1.1989060346471025
20,calibration,1503.0,1,0.16436962295961288,0.16463358874581965,0.16379375489681,0.16666666666666666,0.17136968839332484,0.17074898708934413,56.86897766699523,1.088169595387948,1.2492099771955363
20,calibration,1503.0,2,0.18032731408979383,0.167375863975298,0.16963045494490772,0.16666666666666666,0.15898928145617522,0.1623064713204038,68.257644870521,1.2009607915078808,1.122749223931303
20,calibration,1503.0,3,0.17260491954373403,0.16461630545409875,0.16277339667417037,0.16666666666666666,0.15323255728669588,0.15082659932978776,49.59451048905018,1.025777231186853,1.1145447431047404
